caption,tags,quote,actual_quote,child_len
"A white co-worker of mine talking to a white student about her black niece’s hair. That day her niece wore her hair natural to school.Made me angry, scared to say anything, ashamed I didn’t say anything.","['xs', 'race', 'gender']","“I know, isn’t her hair crazy today? She’s going to do something about it today. I can’t believe you went to school like that.”","I know, isn't her hair crazy today? She's going to do something about it today. I can't believe you went to school like that.",24
"Some guy comes up to me, referring to my hair.","['race', 'xs']","“I mean, I can tell you have some black in you.”","I mean, I can tell you have some black in you.",11
"My dad, to me, circa 7 years old, a few months after he and mom split due to his 7+ affairs. Made me feel sad, fat, ugly, and lasted until my 30’s. Saddest thing is, many men would agree.","['xs', 'gender', 'body']","“If you keep getting fatter, men won’t want to date you when you get older.”","If you keep getting fatter, men won't want to date you when you get older.",15
"A white college student, upon seeing two black men walk down the street, talking and laughing loudly.","['xs', 'race']","“God, I love it here, there’s so much culture.”","God, I love it here, there's so much culture.",9
"My mother after I explained to her that I am attracted to other women. Made me feel shamed, confused.","['xs', 'sexuality']","“That’s okay, no judgment. Just, don’t tell anyone yet.”","That's okay, no judgment. Just, don't tell anyone yet.",9
"The director of Campus Security in a lecture to first-years. The girl she was talking about was sexually assaulted when she was walking back to campus at night. 300 students, no one objected.","['xs', 'gender']",“My first words to her were what any father would say to their own daughter: What were you thinking walking alone like that!”,My first words to her were what any father would say to their own daughter: What were you thinking walking alone like that!,23
"Any coworker whenever a white, apparently Canadian-born man comes into the restaurant with a significant other who is eastern European or southeast Asian.Frustrated and hurt because my mother is a Filipino immigrant who married my father, a white English-Canadian, and makes me wonder how often people think that about them.","['xs', 'race', 'gender', 'class', 'sexism']",“You just know she’s his mail-order bride.”,You just know she's his mail-order bride.,7
At my school study hall in suburban USA. It made me feel stereotyped and ostracized for being a poor African American. (via microaggressions)(via microaggressions),[],“I hate going into the city. There are so many black people and it’s so ghetto… Not to be racist or anything.”,I hate going into the city. There are so many black people and it's so ghetto … Not to be racist or anything.,23
"Facebook status by one of my friends, and “liked” by several others so far.","['xs', 'race']",“If u can’t speak english… u shouldn’t be able to get a license…. just sayin”,If u can't speak english … u shouldn't be able to get a license …. just sayin,17
An African American co-worker at a team dinner.,"['xs', 'race']","““I would never, ever hire someone with a ""black” name on their resume.  I wouldn’t even interview them.“”","""I would never, ever hire someone with a"" black ""name on their resume. I wouldn't even interview them.""",18
"Man on the street after I tell him that I’m queer. As if my short skirt and make up give him the right to assume my sexuality.  Made me feel angry, degraded, invisible.","['xs', 'gender', 'sexuality']","“Maybe you just haven’t slept with the right man, I can turn you right, baby.”","Maybe you just haven't slept with the right man, I can turn you right, baby.",15
Complete non-sequitur from white guy trying to hit on me in a bar.,"['xs', 'race']","“I MEAN, I VOTED FOR OBAMA…”","I MEAN, I VOTED FOR OBAMA …",7
Man at the bus stop. I am an Asian American woman. I was reading Jane Austen. In English.,"['xs', 'race']","“Excuse me, do you speak English?”","Excuse me, do you speak English?",6
My Dad to me. For the record I came out when I was 16 (I am 19 now). He’s still in denial. In London & it made me feel pissed off & upset.,"['xs', 'sexuality']","“You’re going to Old Compton Street? You want to be careful, it’s queer city up that way.”","You're going to Old Compton Street? You want to be careful, it's queer city up that way.",17
"My father to one of his buddies as he drives myself and my girlfriend of two and a half years. He knows we’ve been dating that long. I’m 18, a lesbian, and out to my family and most of the community. Makes me feel like my love doesn’t count just because it’s for a woman.","['xs', 'gender', 'sexuality']","“Oh, I’m just taking Sarah and her friend to the mall.”","Oh, I'm just taking Sarah and her friend to the mall.",11
"I am Chinese. The food didn’t even belong to me. Ironically, the professor has written about race relations in media! It felt like a slap in the face and made me feel ashamed and embarrassed for the food of my culture.","['xs', 'race']",“What is that smell?  Is that Chinese food?  How can you stand that?  We have to air the room out!”,What is that smell? Is that Chinese food? How can you stand that? We have to air the room out!,20
"A quote from the Dr. Phil show, July 20, 2011. Made me feel appalled, frustrated, and sad.  I think people leave unsatisfying situations to make themselves feel more comfortable and happier with their lives, not just girls.","['xs', 'gender']","“Girls run away from their families for two different reasons. Either they’re chasing after something, or they’re running away from something.”","Girls run away from their families for two different reasons. Either they're chasing after something, or they're running away from something.",21
"I was born to a white Mexican father and a dark-skinned, brown-eyed Mexican mother. I get this from both sides of the family. I am angry and saddened by how poorly my Mexican family values its indigenous heritage.","['xs', 'race']","“You were born with white skin, like your dad’s. You’re so lucky. It’s too bad you didn’t get his blue eyes, though. Maybe you’ll pass them on to your kids!”","You were born with white skin, like your dad's. You're so lucky. It's too bad you didn't get his blue eyes, though. Maybe you'll pass them on to your kids!",30
"At Uni, walking to class. She was referring to Osama bin Laden, because I am Muslim. Made me feel like shyza, I remembered all the abuse I went through after 9-11.","['xs', 'religion', 'race', 'ethnicity']",“Hey! You’re uncle died.”,Hey! You're uncle died.,4
"A male friend to me, in a crowded bar.","['gender', 'xs']",“You get so over-emotional about sexual harassment.”,You get so over-emotional about sexual harassment.,7
A friend’s boyfriend upon finding out I am of Russian origin.,"['xs', 'ethnicity']",“Where’s your Kalashnikov?”,Where's your Kalashnikov?,3
Partner in our firm (i.e. my boss) re: another woman associate and I potentially attending an outside event.,"['xs', 'gender']","“You know, it’s just - if two women walk in, it kind of discredits us as a firm.”","You know, it's just - if two women walk in, it kind of discredits us as a firm.",18
Facebook group (via microaggressions)(via microaggressions),"['race', 'xs', 'reblog']",“Im Offended That Black People Can Call White People Racial Names But Us White People Cant Call Them Racial Names Back Or Its ‘Discrimination’”,Im Offended That Black People Can Call White People Racial Names But Us White People Cant Call Them Racial Names Back Or Its' Discrimination ',25
"This was said by my fiance’s aunt tonight. I’m 22, cis female, Mexican. Made me feel ashamed, isolated, upset, and angry.","['xs', 'race']","“My daughter said, ‘Mom, I hate Mexicans!’ I told her you can’t judge all Mexicans because of one but, you can say they are all short.”","My daughter said, 'Mom, I hate Mexicans!' I told her you can't judge all Mexicans because of one but, you can say they are all short.",26
Psychotherapist’s office at age 19.,"['xs', 'sexuality']",“I think we ought to treat your homosexuality before we treat your depression.”,I think we ought to treat your homosexuality before we treat your depression.,13
"White neighbor, in conversation. I felt this person was implying that the black girl wasn’t qualified, or that she only got it out of affirmative action. Why not just say “I was fully qualified, but they gave the job to someone else”? I’m a person of color and I wonder if people think that about me. Made me sad.","['xs', 'race', 'gender']","“I was fully qualified for the job, but they gave it to a black girl.”","I was fully qualified for the job, but they gave it to a black girl.",15
"My father, when asked by a clinician to describe how he felt about my schizophrenia. I was horrified.","['ability', 'body', 'invisible', 'xs', 'macro']","“I don’t know why she even bothers. If I were her, I’d put a gun in my mouth.”","I don't know why she even bothers. If I were her, I'd put a gun in my mouth.",18
"Response from three different people, including one grocery store checkout clerk, upon hearing that I am sick. Made me feel like I’m not allowed to throw up without people bringing my fertility into it.","['xs', 'gender', 'body']",“Are you sure you’re not pregnant?”,Are you sure you're not pregnant?,6
"A friend, when I told her I was queer.","['xs', 'sexuality']",“I don’t think that’s true. You’re just not the type.”,I don't think that's true. You're just not the type.,10
Made me feel marginalized and invalid in my distaste for that word. Like I shouldn’t dislike the term because white boys use it as a term of endearment. As if my struggle as a black woman in America means nothing.,"['xs', 'race']","“To me, [nigga] is like a bro term. A term of endearment.”","To me, [nigga] is like a bro term. A term of endearment.",12
complete with airquotes,"['xs', 'sexuality']",“So how long has she been “married”?”,"So how long has she been ""married""?",7
"A maintenance man to me, in all seriousness, about a woman he had to help out of a broken elevator who was having a panic attack about it.","['xs', 'gender']","“If I had a wife like that, I’d HAVE to beat her.”","If I had a wife like that, I'd HAVE to beat her.",12
"A student manager at my old job after I came out. All I could think to say was, “I don’t do that,” to which he was surprised. I felt stereotyped and sorry for his friend.","['xs', 'sexuality']",“I have one of those who helps me pick out clothes.”,I have one of those who helps me pick out clothes.,11
"Tweet, in response to someone that posted a link about SNL’s diversity.","['xs', 'race']",“Why does SNL have to TRY to find a black comic? Why can’t they just find someone funny that fits the group? Fuck. This stuff is getting out of control.”,Why does SNL have to TRY to find a black comic? Why can't they just find someone funny that fits the group? Fuck. This stuff is getting out of control.,30
A generally-liberal male classmate/coworker.,"['gender', 'xs']","“THERE ARE LOTS OF REASONABLE FEMINISTS, LIKE YOU, BUT THEN THERE ARE THOSE ONE WHO JUST LIKE, HATE MEN.”","THERE ARE LOTS OF REASONABLE FEMINISTS, LIKE YOU, BUT THEN THERE ARE THOSE ONE WHO JUST LIKE, HATE MEN.",19
The description of The Colbert Report on July 28th. I’m a woman who enjoys discussing both politics and fantasy novels. It made me feel disappointed in the show.,"['xs', 'gender', 'sexism']","“The debt crisis and “The Lord of the Rings” both have elaborate plots, too many characters to keep track of, and talking about either of them repels girls.”","The debt crisis and ""The Lord of the Rings"" both have elaborate plots, too many characters to keep track of, and talking about either of them repels girls.",28
"A male friend to me, in a crowded bar.","['gender', 'xs']",“You get so over-emotional about sexual harassment.”,You get so over-emotional about sexual harassment.,7
Vice principal to a group of students 97% African American going on a field trip. Made me feel shocked.,"['xs', 'race']","“Remember, you’re representing your race today.”","Remember, you're representing your race today.",6
"Said by the late-middle-aged man in charge of assigning me a job when I joined the Army. I was 17 and female. I had intended to become a translator, but was so blindsided and angry, I blurted out that I wanted to pilot helicopters.  He pushed nursing several more times, and refused to give me any combat-related assignment.  Made me feel like I was only good for support.","['xs', 'gender', 'sexism']","“Let me guess, nursing?”","Let me guess, nursing?",4
"Professor to me, one of two Asian students in my psychology class in Australia in 2010. Made me feel angry. I am not the Appointed Spokesperson.","['xs', 'race']","“But you’d know about that, wouldn’t you? Asian parents and overachievement and their focus on studies?”","But you'd know about that, wouldn't you? Asian parents and overachievement and their focus on studies?",16
"Said by my estranged mother to me during our first phone conversation in months.  I’m a survivor of childhood sexual abuse and assaults committed later on, and have never disclosed to a family member.  She said it in response to a comment about the fact that I was teaching a class on sexual assault.  Made me feel awful and scared about what’s happened to me, even though I know it’s not my fault.","['survivor', 'xs', 'gender']",“Good girls don’t get raped.”,Good girls don't get raped.,5
"My professor trying to make a joke in an undergrad political science class, in the middle of a lesson about how evolutionary psychology might prove that there actually are cognitive differences between the races and sexes. Made me feel powerless to speak up.","['xs', 'race']","“The idea of the noble savage is that primitive things are better. So African drums are better than Beethoven. Which may have something to it, until you hear too much rap music, and then you think primitive things should be banned.”","The idea of the noble savage is that primitive things are better. So African drums are better than Beethoven. Which may have something to it, until you hear too much rap music, and then you think primitive things should be banned.",41
"Living in New York I get this said to me frequently on the street. It is always on a day when I am incredibly stressed or dealing with a serious and troubling emotional problem.Apparently, because I am a woman, I’m not allowed to be angry or upset. I should just fake happiness. I’m expected to smile and be pretty, even when I’m depressed or full of anxiety. Women are always suppose to be these beaming rays of sunshine!  It makes me angry and, unfortunately, can make the different between a bad day and a terrible one.","['xs', 'gender']","“Smile, gorgeous!”","Smile, gorgeous!",2
,"['religion', 'xs']",“You don’t look Jewish.”,You don't look Jewish.,4
Drunk man harassing me on way home (because I’m butch/visibly queer),"['xs', 'sexuality', 'gender']",“It just needs a good fingering.”,It just needs a good fingering.,6
"In a 2007 National Geographic photo book called “Inside China”, where five out of six authors are white. Made me feel annoyed as a Chinese person - enough of this stereotyping and essentialism already.","['xs', 'race', 'ethnicity']",“There is no question that the Chinese will keep working hard. Hard work is in their genes.”,There is no question that the Chinese will keep working hard. Hard work is in their genes.,17
"Another airman, to me, a bisexual woman in the military when Don’t Ask Don’t Tell (American military policy) popped up into our conversation during lunch.  Made me feel angry and belittled.","['xs', 'sexuality']",“Why do homosexuals keep whining about marriage? They should be happy with the rights they have right now.”,Why do homosexuals keep whining about marriage? They should be happy with the rights they have right now.,18
Speaker at an LGBT conference.,"['xs', 'sexuality']",“And we all know bisexuals are just on the road to being gay.”,And we all know bisexuals are just on the road to being gay.,13
"A white man at Target when I approached my mom (a white woman), as if I (a black girl) was trying to take something from her. I felt like people don’t know about interracial adoption","['xs', 'race']",“May I help you?”,May I help you?,4
A lot of people on various occasions. Makes me feel disrespected and confused as to what what exactly is expected of me.,"['xs', 'race', 'immigration', 'language']",“You speak English really well for someone that’s an immigrant. You don’t even sound Hispanic.”,You speak English really well for someone that's an immigrant. You don't even sound Hispanic.,15
"The head of HR, while introducing new employees.","['xs', 'gender']","“This is A, our system admin! Ask him about setting up your email! He can also help you with internet, printing, etc… And this is P, the female engineer!”","This is A, our system admin! Ask him about setting up your email! He can also help you with internet, printing, etc … And this is P, the female engineer!",30
"Random stranger referring to me pushing my wheelchair that I have used my entire life. Made me feel belittled. We don’t “congratulate people for walking well, so what did she even mean?","['xs', 'ability']","“Wow, you are getting pretty good at that thing.”","Wow, you are getting pretty good at that thing.",9
"White woman I’ve never met to me, a black woman she’s never met, in a vegan soul food restaurant in Baltimore, where we are both eating with our respective partners.","['xs', 'race']",“Could you get me some water?”,Could you get me some water?,6
Hanging with my white husband at Oktoberfest. So black women don’t enjoy beer? #speckinaseeofwhite,['race'],“We don’t normally see your kind here”,We don't normally see your kind here,7
"A mother to her young daughter, at a GLBT pride parade and festival, in a generally GLBT-friendly town Awkward and sad that somebody would teach their child to hate and fear. Also confused that somebody with those feelings would attend a Pride festival in the first place.","['gender', 'sexuality', 'xs', 'genderqueer']",“We’re not going near the drag queens!”,We're not going near the drag queens!,7
18 year-old college student who has been homeless several times with my “normal” parents. I pass as middle class. Made me feel unable to talk about my past.,"['xs', 'class']","“I’m fine with homeless people who have psychological disorders, but what I don’t understand is NORMAL people who have to be homeless. Why don’t they get jobs? Why don’t they get help from family?”","I'm fine with homeless people who have psychological disorders, but what I don't understand is NORMAL people who have to be homeless. Why don't they get jobs? Why don't they get help from family?",34
"Teacher, jokingly. He wasn’t; I actually was. I even have the permanent balance disorder to show for it.","['xs', 'ability', 'body']","“What, were you hit on the head too many times as a kid?”","What, were you hit on the head too many times as a kid?",13
"A male friend about my job as an editor at our university’s gender studies magazine in Switzerland. I was speechless, and I actually still don’t know an answer. I just don’t. But now thinking about it, I’m just fucking angry.","['gender', 'xs']",“I really don’t understand why you are so invested in women’s rights and fighting sexism and stuff - these things clearly don’t affect you.”,I really don't understand why you are so invested in women's rights and fighting sexism and stuff - these things clearly don't affect you.,24
"A man who cornered me downtown and asked me for bus fare. When I said I didn’t have any change, he wouldn’t let me pass until I smiled for him. Brought back bad memories. Made me feel angry, scared and used.","['xs', 'gender']","“Just smile for me baby, let me see that pretty smile.”","Just smile for me baby, let me see that pretty smile.",11
Police officer about a woman who lived with an abusive partner.,"['xs', 'gender', 'survivor']","“Well, her boyfriend’s all over our records. If she got involved with him in the first place, she got what was coming to her.”","Well, her boyfriend's all over our records. If she got involved with him in the first place, she got what was coming to her.",24
,"['xs', 'gender', 'sexuality', 'trans*']","“Wow, those women are hot. Though you never know in the Castro.”","Wow, those women are hot. Though you never know in the Castro.",12
"White co-workers at a high-profile US government agency where I intern. They never say this to White interns. Before I did an interview for Newsweek, I was briefed and at the end, the examiner said, “I was worried you would sound ghetto, but now I know you can communicate, so I have nothing to worry about.” I am 22 in Washington, DC. I was angry beyond words. It makes me sick that people still doubt my communication skills simply because I am Black.","['xs', 'race']",“Wow! You’re so articulate!!”,Wow! You're so articulate!!,4
During a technical talk to a group of professional engineers and scientists. Made me dismayed that professional people in positions of power think and verbalize such thoughts.,"['xs', 'race']",“I don’t know how well this software [facial recognition software] will work in places like Asia because all Chinese people look the same.”,I don't know how well this software [facial recognition software] will work in places like Asia because all Chinese people look the same.,23
"My white boyfriend, after I told him I would really like it if he didn’t try to imitate my parents’ East African accents when quoting them, because it makes me uncomfortable and they are very conscious of their accent (it being the sole reason why they didn’t each my siblings and I our home language).","['xs', 'race', 'language']",“If I can’t do the accent how can I say it the way they did? So white people can’t do accents now? That’s so not fair!”,If I can't do the accent how can I say it the way they did? So white people can't do accents now? That's so not fair!,26
"My boss, concerning my (dead) father","['gender', 'xs']",“When did your father leave home? I think you have problems with male authority because your father isn’t around.”,When did your father leave home? I think you have problems with male authority because your father isn't around.,19
my friend while introducing me to a queer female couple at a party,"['sexuality', 'gender', 'xs']",“Can I tell them??!! She’s a lesbian too!”,Can I tell them??!! She's a lesbian too!,8
"Comment made by my MFA program director when I asked her not to use the word ‘rape’ casually in class, after sharing that I am a survivor of sexual assault.  Earlier that day she had referred to something jokingly as 'internet rape,’ and I was so triggered that I had to leave class and cry in the hallway.","['xs', 'survivor']","“Well, there are many meanings of the word [rape] other than what you’re talking about.”","Well, there are many meanings of the word [rape] other than what you're talking about.",15
"My partner’s father, a local sheriff, berated me at his dinner table for not knowing enough about vehicle maintenance.   My lack of interest in cars does not define my identity. Made me feel alienated, marginalized, and intimidated.","['xs', 'gender']","“Not much of a man, are you?”","Not much of a man, are you?",7
"I’m mixed white/Filipino, with a blond, petite mom who I love more than anything. Makes me deeply upset that people would deny my relation to my  mom because of my skin color.","['xs', 'race']","“Oh, I didn’t know that was your mom. You’re adopted, right?”","Oh, I didn't know that was your mom. You're adopted, right?",11
"My husband to me. So, I can’t be passionate about one group of victims if they’re from a marginalized group, unless I’m passionate about a group that is less marginalized as well? Made me feel hurt, alone, marginalized, as if my sexual assault-related PTSD was not as serious or worthy of attention.","['xs', 'gender', 'body', 'survivor']",“Why do you focus so much on rape victims? Men who go to war get PTSD too. Don’t you care about them?”,Why do you focus so much on rape victims? Men who go to war get PTSD too. Don't you care about them?,22
"A male teacher in his late twenties towards me, a teenage girl. I was horrified that a person in charge of me actually thought that. It made me feel like all my efforts were useless.","['xs', 'gender']","“I’m not a misogynist! I don’t hate woman! It’s just that they’re not as smart as men. They’re like babies, or dumb animals. I love babies and animals, they still can’t do much though.”","I'm not a misogynist! I don't hate woman! It's just that they're not as smart as men. They're like babies, or dumb animals. I love babies and animals, they still can't do much though.",34
"I was facing homelessness after my parents found out I’m lesbian. My only nearby support system was the school I attended. After I explained the situation and disclosed my sexuality to a teacher I trusted with the information, this was the response I got.","['xs', 'sexuality']",“Are you lesbian because a man hurt you?”,Are you lesbian because a man hurt you?,8
"Business man to business woman, during a business dinner. I was appalled.","['xs', 'gender']","“You’re beautiful. Oh, you’re married? So, do you have any sisters?”","You're beautiful. Oh, you're married? So, do you have any sisters?",11
A white male to another white person.,"['xs', 'race']",“The ones breaking the school rules are always black people. The teachers don’t do anything even when they see it happening because they are afraid. I think that I am being discriminated against because I’m white!”,The ones breaking the school rules are always black people. The teachers don't do anything even when they see it happening because they are afraid. I think that I am being discriminated against because I'm white!,36
,"['xs', 'race']","“He’s been working like a nigger all week. What? I’m saying that they work hard, how can that be racist?”","He's been working like a nigger all week. What? I'm saying that they work hard, how can that be racist?",20
"My therapist, after I (20 year-old woman) confided that my boyfriend had held me in a corner and sexually assaulted me. Made me feel frightened and confused, like I couldn’t trust anyone.","['xs', 'gender', 'survivor']",“But did he hold a gun to your head?”,But did he hold a gun to your head?,9
"A lesbian to me, after she found out that I am a transitioned transsexual man. Made me feel lumped into a category, my identity as a cisman invalidated. Just because I transitioned doesn’t mean that I’m “queer”!","['xs', 'trans*', 'sexuality']",“Why aren’t you a part of the LGBTQ community? You don’t want to hang out with people like you?”,Why aren't you a part of the LGBTQ community? You don't want to hang out with people like you?,19
Said by a a male to me while I was signing up to a store’s club.,"['gender', 'xs']",“Would you like the green card or the pink card? The green card? Are you sure? I thought you would prefer the pink card.”,Would you like the green card or the pink card? The green card? Are you sure? I thought you would prefer the pink card.,24
"A Boston cop, to my friends and I (women, early twenties) after separating a woman and her abuser outside of a bar. We try to see if she’s all right and offer her some resources, but she walks away in tears. We stand there, stunned, and the cop offers us that little gem.  He will never know what it’s like to be a woman on a dark street at night, and the extent to which we cannot relax. Boston Common on the night of the Bruins game-heavy police presence. Made me feel unsafe, incredulous, hyperaware of rape culture.","['gender', 'xs']","“Relax ladies, it’s no big deal!”","Relax ladies, it's no big deal!",6
I’m a queer but straight-looking butch-loving femme with a picture of my butch wife at my desk. In a diversity awareness course. I wish the facilitator had picked up on it and addressed it.,"['xs', 'gender', 'sexuality']","“There’s nothing wrong with a woman having a picture of her girlfriend at your desk. I mean, everyone likes to have pictures of their loved ones at their workplace. Unless, *giggles* she’s butch! Hahaha!”","There's nothing wrong with a woman having a picture of her girlfriend at your desk. I mean, everyone likes to have pictures of their loved ones at their workplace. Unless, * giggles * she's butch! Hahaha!",36
Vietnamese American male upon finding out I got a higher score than him on the Chinese I midterm.,"['xs', 'race', 'gender']","“Man, outscored by a black guy.”","Man, outscored by a black guy.",6
"My mum, after I told my younger sister it was okay if the person she had a crush on was a girl. I’m queer, which apparently is ‘bad enough’ and something to be avoided in my siblings.","['xs', 'sexuality']",“No. It’s bad enough to have *one* kid like… that.”,No. It's bad enough to have * one * kid like … that.,13
receptionist after seeing my haircut. I’m a gay man with a partner of 4 years.,"['sexuality', 'gender', 'xs']",““I’m sure your new haircut will get you some nice ladies”.”,"""I'm sure your new haircut will get you some nice ladies"".",11
"My current boss at my job interview for a position at an all-girls’ educational institution. I should have seen that as a giant red flag, but I needed the job too much. Connecticut, age 26, just under one year ago. Made me feel belittled, naive, worried that an all-girls’ school sees feminism as quaint.","['xs', 'gender']","“Oh, that’s so sweet; I was a feminist when I was your age, too.”","Oh, that's so sweet; I was a feminist when I was your age, too.",14
,"['xs', 'race']",“I just read on Wikipedia that Eskimos DONT live in Igloos….. Seriously?! wtf. I feel like up is down and right is left.”,I just read on Wikipedia that Eskimos DONT live in Igloos ….. Seriously?! wtf. I feel like up is down and right is left.,24
,"['xs', 'gender', 'sexuality', 'macro']","“If you’re not into tits and ass, you’re a homo. End of story.”","If you're not into tits and ass, you're a homo. End of story.",13
"My white friend to me, a half black person who could pass as white.","['class', 'xs']","“There’s African Americans and then there’s black people. There’s a difference. Like, Oprah is an African American, but some random black guy off the street doesn’t deserve the title, you know?”","There's African Americans and then there's black people. There's a difference. Like, Oprah is an African American, but some random black guy off the street doesn't deserve the title, you know?",31
A submission we received that clearly does not get the point of our entire project.,[],"“There are black magazines, black award shows, black college scholarships and black television channels. Since all of these things would be unacceptable for whites, it seems that the more privileged race is black.”","There are black magazines, black award shows, black college scholarships and black television channels. Since all of these things would be unacceptable for whites, it seems that the more privileged race is black.",33
"My neighbor said this upon seeing me after my semester abroad in Ireland.  I’m a light skinned and freckled Hispanic woman. It made me feel annoyed and confused, was I supposed to soak up whiteness while in Europe?","['xs', 'race']",“Look at her she came back even lighter from Europe!”,Look at her she came back even lighter from Europe!,10
"Said to me by a straight, cis, male friend when I was explaining why it will be years before I can have SRS (sex reassignment surgeries). I am a trans* man who has attempted suicide in the past because of my gender dysphoria.Made me feel misunderstood and diminished, like the severity and potentially life-threatening nature of being denied trans* related medical care was not seen as real or legitimate, and like I am not allowed to define my experience for myself but must accept whatever people who have more privilege than me define my experience.","['xs', 'gender', 'sex', 'trans*']",“But even you would agree that it’s not medically necessary in the same way as someone who is dying of something.”,But even you would agree that it's not medically necessary in the same way as someone who is dying of something.,21
"Theater employee after she asked what movie I had seen as I was walking out. For the record, True Grit was very good and I’m pretty sure my genitals don’t really influence my taste in films.","['xs', 'gender']",“What? But that’s a guy movie!”,What? But that's a guy movie!,6
,"['xs', 'sexuality']","“Hey, if you don’t like it when they use ‘gay’ like that, then don’t pay attention to them. Don’t let yourself get so worked up about it.”","Hey, if you don't like it when they use 'gay' like that, then don't pay attention to them. Don't let yourself get so worked up about it.",27
when: today,"['xs', 'race', 'macro']",“I’M DISCRIMINATED AGAINST AS A WHITE MALE. THEY LOOK FOR ANY EXCUSE TO PLAY THE RACE CARD.”,I'M DISCRIMINATED AGAINST AS A WHITE MALE. THEY LOOK FOR ANY EXCUSE TO PLAY THE RACE CARD.,17
"A friend said this in class, as part of a wider discussion among the others about how some people deliberately try to inspire pity so they can manipulate you. Said while looking straight at me, when she knows that I have abusive parents. Made me feel like I was a horrible person, not to mention betrayed.","['xs', 'survivor']",“It’s a shame that some people like to use their childhoods to get themselves out of responsibility.”,It's a shame that some people like to use their childhoods to get themselves out of responsibility.,17
"My white mom, after asking me what my white boss’ black husband did for a living.","['xs', 'race', 'class']","“Well, at least he’s not a laborer.”","Well, at least he's not a laborer.",7
I’m a black girl who happens to have long hair. I didn’t know those two things were mutually exclusive.,"['xs', 'race', 'body', 'gender']",“Your hair is so cute!  What are you mixed with?”,Your hair is so cute! What are you mixed with?,10
A man while I was discussing politics with a group of people.,"['xs', 'gender']",“Wow Barbie actually has a lot to say.”,Wow Barbie actually has a lot to say.,8
