caption,tags,quote,actual_quote
"I’m a disabled 22 year old using a wheelchair daily. I was visiting my friend in a dorm and using the bathroom with my caretaker when this lady comes in and asks if I’m staying here. I proceed to explain that I can’t cause of my disability and the fact my illness is terminal and I have little time left.  She listens and then says “well at least you look very cute, prettier than many normal people.” Made me feel like an outcast.","['xs', 'ability']","I’m a disabled 22 year old using a wheelchair daily. I was visiting my friend in a dorm and using the bathroom with my caretaker when this lady comes in and asks if I’m staying here. I proceed to explain that I can’t cause of my disability and the fact my illness is terminal and I have little time left.  She listens and then says “well at least you look very cute, prettier than many normal people.” Made me feel like an outcast.",
"My doctor says this, looking over his glasses at me. I feel obligated to answer, “No.” He makes me feel like I have no right to struggle with my body image because I’m thin. What he doesn’t know is I struggle with body image because I’m a survivor of sexual abuse; my rapist made me feel disgusted with my body. But I’m not allowed to feel that way because I’m “thin.”","['xs', 'gender', 'body', 'survivor']",“Having any body image issues? You better not say yes.”,Having any body image issues? You better not say yes.
"*first week of freshman year of college*a white girl from a dorm room across the hall from me starts talking about the James Scholar Honors awarded to some students upon acceptance to the university.Me: “yeah I am a James Scholar, actually”Her: *shocked* “Oh really? Is it because you are Hispanic?”I graduated at the top of my high school class, with extracurricular activities in music, sports and philanthropy with several leadership positions. We are both sophomores now and I have a higher GPA than her, but she still questions how I get my (merit-based) scholarships and honors.","['xs', 'race']","*first week of freshman year of college*a white girl from a dorm room across the hall from me starts talking about the James Scholar Honors awarded to some students upon acceptance to the university.Me: “yeah I am a James Scholar, actually”Her: *shocked* “Oh really? Is it because you are Hispanic?”I graduated at the top of my high school class, with extracurricular activities in music, sports and philanthropy with several leadership positions. We are both sophomores now and I have a higher GPA than her, but she still questions how I get my (merit-based) scholarships and honors.",
"I am a Latina engineering student. I have been working on a semester-long group project We just presented our design in front of judges who are professional engineers from around the area. I have two group mates: a female immigrant from Korea and a white male. After one presentation, one of the judges of a company for which we all want to intern approached my white male peer and congratulated him on the project and handed him a business card. He did not look at me nor my Asian-American female group mate. We all worked equally on the project. Made me feel as if my contributions will never be worthy of recognition.","['xs', 'race', 'gender']","I am a Latina engineering student. I have been working on a semester-long group project We just presented our design in front of judges who are professional engineers from around the area. I have two group mates: a female immigrant from Korea and a white male. After one presentation, one of the judges of a company for which we all want to intern approached my white male peer and congratulated him on the project and handed him a business card. He did not look at me nor my Asian-American female group mate. We all worked equally on the project. Made me feel as if my contributions will never be worthy of recognition.",
"I have a friend who I love dearly, but they will frequently drop bombs in conversations, like ‘If I was born with your body, I wouldn’t mind the cat calling’. It really feels like they’re insinuating that it’s MY FAULT I’m upset, or MY FAULT that these things happen to me. They don’t know I was raped, and these comments make me feel like my experiences somehow don’t matter, or that they’re my fault somehow for “girling wrong.”","['gender', 'xs']","I have a friend who I love dearly, but they will frequently drop bombs in conversations, like ‘If I was born with your body, I wouldn’t mind the cat calling’. It really feels like they’re insinuating that it’s MY FAULT I’m upset, or MY FAULT that these things happen to me. They don’t know I was raped, and these comments make me feel like my experiences somehow don’t matter, or that they’re my fault somehow for “girling wrong.”",
"Back in high school, I was trying to drop an AP course as it was adding onto the stress of college applications. A lot of the class had already dropped the course but somehow my form hadn’t gotten approved. I ran into my principal one day in the hall. Now my high school was fairly small, but I had never interacted with her much so I don’t believe she even knew my name. I asked her why my form hadn’t gotten approved and she looked at me and said, “This isn’t the Taj Mahal, you can’t just drop courses like that.” I’m very obviously not white, and her reply left me stunned because I just didn’t get it. After talking it over with my friends, they made me realize she had said that because of the brown color of my skin. I felt disgusted that someone with so much influence felt okay saying that to a kid.","['xs', 'race']","Back in high school, I was trying to drop an AP course as it was adding onto the stress of college applications. A lot of the class had already dropped the course but somehow my form hadn’t gotten approved. I ran into my principal one day in the hall. Now my high school was fairly small, but I had never interacted with her much so I don’t believe she even knew my name. I asked her why my form hadn’t gotten approved and she looked at me and said, “This isn’t the Taj Mahal, you can’t just drop courses like that.” I’m very obviously not white, and her reply left me stunned because I just didn’t get it. After talking it over with my friends, they made me realize she had said that because of the brown color of my skin. I felt disgusted that someone with so much influence felt okay saying that to a kid.",
"I am at the doctor for chronic fatigue and tiredness. My older female doctor listens to all my symptoms and then says, “Well, with young women experiencing fatigue, my first thought is always pregnancy. What type of birth control do you take?”“None,” I say. “I’m gay.” “No birth control?” she says, looking alarmed. “Is there any way you could be pregnant?”“No,’ I say emphatically. ""I’ve never had sex with a man. I’m in a monogamous relationship with a woman I’ve been dating for six years.” “Well…” she frowns at me. “I think we’ll test for pregnancy just in case, with the rest of the bloodwork.” Why doesn’t she believe me? What is so unbelievable about a young woman never having sex with a man? Why would I lie about that?","['xs', 'gender', 'sexuality']","I am at the doctor for chronic fatigue and tiredness. My older female doctor listens to all my symptoms and then says, “Well, with young women experiencing fatigue, my first thought is always pregnancy. What type of birth control do you take?”“None,” I say. “I’m gay.” “No birth control?” she says, looking alarmed. “Is there any way you could be pregnant?”“No,’ I say emphatically. ""I’ve never had sex with a man. I’m in a monogamous relationship with a woman I’ve been dating for six years.” “Well…” she frowns at me. “I think we’ll test for pregnancy just in case, with the rest of the bloodwork.” Why doesn’t she believe me? What is so unbelievable about a young woman never having sex with a man? Why would I lie about that?",
"My fiancee and I are never acknowledged as a couple, and I think this is because we are both feminine women and different races. Waiters consistently bring us separate checks without asking, shopkeepers at places we are regulars usually eventually ask “so are you two sisters? is that why you are always together?""","['xs', 'race', 'sexuality', 'gender']","My fiancee and I are never acknowledged as a couple, and I think this is because we are both feminine women and different races. Waiters consistently bring us separate checks without asking, shopkeepers at places we are regulars usually eventually ask “so are you two sisters? is that why you are always together?""
We’ll get comments walking down the street like ""oh, so sweet to hold your best friend’s hand” or “you girls make me miss my best friend.""
When I introduce her to acquaintances or old family friends as my fiancee, they are usually visibly shocked. The frustrating part is that we live in a very liberal city and most of these people consider themselves ""cool with gay people” and don’t understand why I get upset.",
"The head of HR, while introducing new employees.","['xs', 'gender']","“This is A, our system admin! Ask him about setting up your email! He can also help you with internet, printing, etc… And this is P, the female engineer!”","This is A, our system admin! Ask him about setting up your email! He can also help you with internet, printing, etc… And this is P, the female engineer!"
A man commenting on our volunteering organization successfully painting a house.,"['xs', 'gender']","“I’m surprised you got it done, seeing as you’re all girls!”","I’m surprised you got it done, seeing as you’re all girls!"
My manager at the restaurant where I work.,"['xs', 'gender']",“You just need to wear a lower neckline and stop giggling so much!”,You just need to wear a lower neckline and stop giggling so much!
"I’m a bartender, chatting with a customer. He asks me about my background, and I respond that I’m “mixed,” obviously implying that i don’t really want to discuss it (I get asked this all the time). He pushes it, saying “yeah, obviously, but mixed with what?” When I finally tell him that I’m half white and half aboriginal, he responds with “so THAT’S why-” before cutting himself off mid-sentence. This is the same man who, when he first met me, asked I was the daughter of my Indo-Trinidadian manager, the only other POC [person of color] in the room.","['xs', 'race']","I’m a bartender, chatting with a customer. He asks me about my background, and I respond that I’m “mixed,” obviously implying that i don’t really want to discuss it (I get asked this all the time). He pushes it, saying “yeah, obviously, but mixed with what?” When I finally tell him that I’m half white and half aboriginal, he responds with “so THAT’S why-” before cutting himself off mid-sentence. This is the same man who, when he first met me, asked I was the daughter of my Indo-Trinidadian manager, the only other POC [person of color] in the room.",
"I am a female teacher in my late twenties. I am also under five feet tall.  I never exactly know what to say when people tell me, “Oh, I thought you were a student!”  One of the comments that I hear often is “That [chair, bag, box, etc.] is bigger than you are!”  Obviously, it then becomes difficult to feel like an equal professional among my colleagues and superiors.","['gender', 'body', 'age', 'xs']","I am a female teacher in my late twenties. I am also under five feet tall.  I never exactly know what to say when people tell me, “Oh, I thought you were a student!”  One of the comments that I hear often is “That [chair, bag, box, etc.] is bigger than you are!”  Obviously, it then becomes difficult to feel like an equal professional among my colleagues and superiors.",
"I hung out with a friend of mine and some men she knew from work. She asked me along because she didn’t know these men very well. The night started off with them discussions how much they wanted to see two lesbians get it on and ended with one of them showing me an unsolicited picture of their penis. Being a homosexual woman, I was on edge from beginning to end and my friend apologized for exposing me to these people.","['xs', 'gender', 'sexuality']","I hung out with a friend of mine and some men she knew from work. She asked me along because she didn’t know these men very well. The night started off with them discussions how much they wanted to see two lesbians get it on and ended with one of them showing me an unsolicited picture of their penis. Being a homosexual woman, I was on edge from beginning to end and my friend apologized for exposing me to these people.",
A white male coworker ranting about support technicians not speaking proper English.,"['xs', 'race', 'language']",“I don’t speak no Spanglish or Chinglish.”,I don’t speak no Spanglish or Chinglish.
"My English prof told us he didn’t think “derogatory language” directed at LGBTQ students counted as bullying, because it wasn’t physical abuse. His tone when he said it made me want to hide under the desk. It’s like he thinks we should be grateful when it’s ONLY derogatory language, because hey, at least we’re not getting beat up, right? This is the same prof who made a point of telling us singular they/them pronouns were only “technically” correct now because of “an effort to be more inclusive,” and that we should use “he or she” instead whenever possible.","['xs', 'sexuality', 'gender', 'trans']","My English prof told us he didn’t think “derogatory language” directed at LGBTQ students counted as bullying, because it wasn’t physical abuse. His tone when he said it made me want to hide under the desk. It’s like he thinks we should be grateful when it’s ONLY derogatory language, because hey, at least we’re not getting beat up, right? This is the same prof who made a point of telling us singular they/them pronouns were only “technically” correct now because of “an effort to be more inclusive,” and that we should use “he or she” instead whenever possible.",
"At my college, the lift has recently been changed to only allow the disabled and those with heavy loads, and you need to scan your ID card to use it.As a disabled person using it, some people watching nearby loudly remarked how it was unfair only the disabled could use it, and I’ve had several glares.I try not to get down about it, but it’s not like it’s some special privilege - I can’t walk up the stairs, so why the hate?","['xs', 'ability']","At my college, the lift has recently been changed to only allow the disabled and those with heavy loads, and you need to scan your ID card to use it.As a disabled person using it, some people watching nearby loudly remarked how it was unfair only the disabled could use it, and I’ve had several glares.I try not to get down about it, but it’s not like it’s some special privilege - I can’t walk up the stairs, so why the hate?",
"My husband, anytime I get upset over something my husband thinks is trivial.","['gender', 'xs']",“Is your period coming?”,Is your period coming?
"Random man at a bar I used to work at, trying to hit on a woman who was there celebrating just getting her Ph.D. It made my head hurt, but I was proud of her for ceasing all conversation with him after that comment.",['gender'],“You’re too pretty to be a doctor.”,You’re too pretty to be a doctor.
"I was running one day about five years ago. I’m a fat woman who really likes to run and has excellent form, has finished a 5K, and is still fat and accepts and embraces that. This random woman I’d never met told me I was doing a “good job” for running. I guess she thought it was encouraging that I was running because I was being a “good” fat person. I wish I’d have rolled my eyes or something, but my reaction was an awkward smile. Let me run without your unnecessary and fatphobic commentary.",['body'],"I was running one day about five years ago. I’m a fat woman who really likes to run and has excellent form, has finished a 5K, and is still fat and accepts and embraces that. This random woman I’d never met told me I was doing a “good job” for running. I guess she thought it was encouraging that I was running because I was being a “good” fat person. I wish I’d have rolled my eyes or something, but my reaction was an awkward smile. Let me run without your unnecessary and fatphobic commentary.",
"My college roommate, on being assigned me as a roommate. My boyfriend at the time was white.",['race'],"“I was afraid you’d be like one of those Indian people that’s always locked in your room and studies all the time, but then my mom and I went to your Facebook page and saw you had a normal looking boyfriend, so we thought it would be okay.”","I was afraid you’d be like one of those Indian people that’s always locked in your room and studies all the time, but then my mom and I went to your Facebook page and saw you had a normal looking boyfriend, so we thought it would be okay."
,"['race', 'gender', 'xs']",“You’re really pretty for a dark-skinned girl.”,You’re really pretty for a dark-skinned girl.
(via microaggressions),"['xs', 'race']","“I’m probably such a racist, but a black man dressed as Santa is just wrong.”","I’m probably such a racist, but a black man dressed as Santa is just wrong."
"This has happened more than once.  A person complains about the lazy “Natives” downtown, suggesting they are all a bunch of ‘huffers’ exploiting the system.  I respond by pointing out that I’m Metis (I have pale skin).","['xs', 'race', 'ethnicity']","“Yeah, but you’re not that kind of Native.”","Yeah, but you’re not that kind of Native."
"I patiently waited after class to ask my professor a question. He then began making sexual comments such as that I made him aware of his age because he could never get with me because I was out of his league. I felt uncomfortable so I left, with my question unanswered. I could not believe that my college professor prioritized his inappropriate comment over my question and ultimately the quality of my education, as I am no longer comfortable going to him for questions.","['xs', 'gender', 'survivor']","I patiently waited after class to ask my professor a question. He then began making sexual comments such as that I made him aware of his age because he could never get with me because I was out of his league. I felt uncomfortable so I left, with my question unanswered. I could not believe that my college professor prioritized his inappropriate comment over my question and ultimately the quality of my education, as I am no longer comfortable going to him for questions.",
"The “joking” reaction of various friends, coworkers and bosses when I tell them that I’m hearing-impaired and used to have to wear aids. They then tell me “it’s not like it’s a big deal or anything, it’s not like you’re actually deaf”. Makes me feel like my problems don’t matter.","['xs', 'ableism']",“CAN YOU HEAR ME?”,CAN YOU HEAR ME?
"It angers me when people measure my race by the way I talk, dress, and carry myself. It’s as if black women can’t possibly be educated and come from a family with both parents. What sucks the most is that my close friends still say comments like “you’re not really black,” or “but they’re the other kind of black girls.” Can someone please tell me what other black there is?","['xs', 'race', 'gender']","It angers me when people measure my race by the way I talk, dress, and carry myself. It’s as if black women can’t possibly be educated and come from a family with both parents. What sucks the most is that my close friends still say comments like “you’re not really black,” or “but they’re the other kind of black girls.” Can someone please tell me what other black there is?",
"My white American gay classmate to another fellow classmate, who was an immigrant from Poland. It made me, another immigrant, feel shocked because he himself was ridiculed all the time, and I did not expect him to stoop down to the level of his prejudiced, homophobic peers. It made me feel worried, marginalized, unwelcome, nauseous and rejected.","['xs', 'nationality', 'race', 'ethnicity', 'citizenship']",“All immigrants should go back to their own countries!”,All immigrants should go back to their own countries!
"A prejudiced girl in front of me in line, on the way to our high school graduation ceremony.  Three years later she is with a non-white person and they have a baby. It made me feel sick, sad, and worried for her boyfriend and their baby girl.","['xs', 'race']",“Whenever black people come to the beach I start saying ‘It got so dark over here’ and they never know what I’m talking about because they’re dumb.”,Whenever black people come to the beach I start saying ‘It got so dark over here’ and they never know what I’m talking about because they’re dumb.
"A meme blog posted a meme saying “If deaf people can’t talk, how do they think?” My sister is deaf. She told one of the moderators about why this was offensive and they took it down, but I read through the notes and was just saddened about how people were like “I always wondered that.” It makes me very upset.","['xs', 'ableism']","A meme blog posted a meme saying “If deaf people can’t talk, how do they think?” My sister is deaf. She told one of the moderators about why this was offensive and they took it down, but I read through the notes and was just saddened about how people were like “I always wondered that.” It makes me very upset.",
My ex after I told him that I was going to cut my hair to go natural.,"['xs', 'race', 'gender', 'body']",“I think black girls with short hair are ugly.”,I think black girls with short hair are ugly.
"It Girl, a game on Facebook, requires that the players get a virtual boyfriend to get certain bonuses. They don’t realize that some girls don’t fit into this heteronormative mold.","['sexuality', 'xs']","It Girl, a game on Facebook, requires that the players get a virtual boyfriend to get certain bonuses. They don’t realize that some girls don’t fit into this heteronormative mold.",
"Comments I usually hear regarding women who seem to have rapid mood changes. (usually made about women, but it’s been made about men, too)1. Can’t people have legit reasons for being happy one minute and being angry the next?2. Totally misses the fact that Bipolar people actually have a medical condition.Makes me feel like I’ve got a fake illness. I’ve had Bipolar I for over 10 years. It’s not something to pretend to have, joke about, or think is funny. Honestly it’s a pain in the butt.-white, Muslim, 25ish trans-man with Bipolar I","['xs', 'neurodiversity']","“She’s SO Bipolar, haha!”","She’s SO Bipolar, haha!"
"My best friend in a public facebook post. I’m not going to change my name, and my husband encouraged me in that decision. And by the way, I am a feminist. Made me feel unimportant, and not my own person.","['xs', 'gender']",“You’ve been married for two weeks! When are you changing your facebook name to Mrs. [Husband’s name]?? People are going to think you’re a feminist.”,You’ve been married for two weeks! When are you changing your facebook name to Mrs. [Husband’s name]?? People are going to think you’re a feminist.
A white classmate when I came out as queer. I’m a queer Asian-American cis woman who “passes” as “not-gay” apparently.,"['xs', 'sexuality', 'race', 'gender']",“You don’t _seem_ gay.”,You don’t _seem_ gay.
My high school’s homecoming jester’s Instagram profile header.,"['xs', 'race']","“Don’t shoot officers, I’m white! 😂”","Don’t shoot officers, I’m white! 😂"
,"['xs', 'sexuality', 'gender']",“You’re too pretty to be gay.”,You’re too pretty to be gay.
"My white boyfriend, after I told him I would really like it if he didn’t try to imitate my parents’ East African accents when quoting them, because it makes me uncomfortable and they are very conscious of their accent (it being the sole reason why they didn’t each my siblings and I our home language).","['xs', 'race', 'language']",“If I can’t do the accent how can I say it the way they did? So white people can’t do accents now? That’s so not fair!”,If I can’t do the accent how can I say it the way they did? So white people can’t do accents now? That’s so not fair!
"My company’s CEO, after hearing me mention my family’s continued our longstanding tradition of making tamales for the holidays.","['xs', 'race', 'ethnicity']","“You people make a lot of those, don’t you?”","You people make a lot of those, don’t you?"
"My friend and I are standing in like at the supermarket and a young white female who’s telling her boyfriend a story pauses when she sees my friend, who so happens to be black. She then continues her story to her boyfriend with “not to be racist, but she was black.” Had my friend not been there I’m assuming she wouldn’t have started her sentence with “not to be racist, but…”","['xs', 'race']","My friend and I are standing in like at the supermarket and a young white female who’s telling her boyfriend a story pauses when she sees my friend, who so happens to be black. She then continues her story to her boyfriend with “not to be racist, but she was black.” Had my friend not been there I’m assuming she wouldn’t have started her sentence with “not to be racist, but…”",
"n a high school film class, we watched a student made film with problematic portrayals of disabled people and suicides (including in the credits naming a character who commits suicide “shooter mcgee”) as well as using the word “faggot” lightly and repeatedly. I pointed out what was wrong about the film. She asked the class for counter arguments to what I was saying. Then when I suggested they could have asked these communities for advice, she talked about how political correctness is censorship.","['xs', 'neurodiversity', 'sexuality', 'ableism']","n a high school film class, we watched a student made film with problematic portrayals of disabled people and suicides (including in the credits naming a character who commits suicide “shooter mcgee”) as well as using the word “faggot” lightly and repeatedly. I pointed out what was wrong about the film. She asked the class for counter arguments to what I was saying. Then when I suggested they could have asked these communities for advice, she talked about how political correctness is censorship.",
The teacher of my economics class (a middle aged white man) frequently looks at me and the only other girl in my eight person class when he asks if everyone understands. The funny thing is that it’s two of the boys who never understand whilst me and my friend understand it all.,"['xs', 'gender']",The teacher of my economics class (a middle aged white man) frequently looks at me and the only other girl in my eight person class when he asks if everyone understands. The funny thing is that it’s two of the boys who never understand whilst me and my friend understand it all.,
My boyfriend who is a disabled veteran at 26 years old was walking (with his cane) to class when he slipped and fell. A group of people walked by and laughed at him yelling “watch out gimpy!”.,"['xs', 'ableism']",My boyfriend who is a disabled veteran at 26 years old was walking (with his cane) to class when he slipped and fell. A group of people walked by and laughed at him yelling “watch out gimpy!”.,
This is what white women keep telling me.  Why do they think this is a compliment?  I have no idea how to respond each time.,"['xs', 'race', 'gender']",“You’re pretty for a black girl.”,You’re pretty for a black girl.
"Last week when getting of the city bus to go to work, a random older man starting yelling “F****** n*****!” repeatedly as we both got off. I was shocked. Two people stood at the corner just watching. (Editors’ note: racial slurs are not really microaggressions, but harassment in everyday places and apathetic bystanders are definitely part and parcel of microaggressions and their contexts).","['xs', 'race']","Last week when getting of the city bus to go to work, a random older man starting yelling “F****** n*****!” repeatedly as we both got off. I was shocked. Two people stood at the corner just watching. (Editors’ note: racial slurs are not really microaggressions, but harassment in everyday places and apathetic bystanders are definitely part and parcel of microaggressions and their contexts).",
